id,conversation_id,author_id,created_at,text,author_handle,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1365732445589561351,1365732445589561351,3017869683,2021-02-27T18:36:03.000Z,Vannacht ontvangt @ruuddewild lijsttrekker @F_azarkan om met hem over politiek en muziek te praten. De belangrijkste songtekst van Farid zal Ruud in een schilderij verwerken. NPO1 om 00.15 uur  #DENKanders #17maart2021 https://t.co/JnxIRnj20Z,DenkNL,4,4,25,1
1371064466209701889,1371064466209701889,966790780869316608,2021-03-14T11:43:36.000Z,"Voor de mensen die 'm gisteravond gemist hebben.

@DassenLaurens bij @nieuwsuur.
Helemaal terug te zien op: https://t.co/WJBjfCws4c

#Volt #Nieuwsuur https://t.co/S7birWMG4p",VoltNederland,23,5,142,4
1371108464882294795,1371108464882294795,23770198,2021-03-14T14:38:26.000Z,"We mogen de rekening niet doorschuiven naar de volgende generatie. En daar loopt het mis als we naar de partijen op de linkervleugel kijken.

Lees hier Wopkes New Deal om sterker uit deze crisis te komen. Voor nu én volgende generaties.

🔗 https://t.co/2erc05vzOI https://t.co/OPjbqcemJu",cdavandaag,77,28,99,7
1371089627042476037,1371089627042476037,367703310,2021-03-14T13:23:35.000Z,Forum wil een lanceerplatform op Aruba bouwen! #FVD  https://t.co/5BbLnMPe0w,thierrybaudet,60,204,472,36
1367045562881687553,1367045562881687553,17289752,2021-03-03T09:33:55.000Z,"Steun Groningen! De kerncentrale van Rutte mag er niet komen. Teken ook!

Rutte wil een nieuwe kerncentrale bouwen in aardbevingsgebied Groningen. Dat laten we niet gebeuren.👇
https://t.co/CZVyEFg3w3",SPnl,41,29,68,3
1359064499727208448,1359064499727208448,20710359,2021-02-09T09:00:01.000Z,"De gladde slang laat niet snel het achterste van zijn tong zien, maar vandaag wel. 🐍 Hij wil iedereen er van verzekeren voor #PlanB te kiezen, zodat zijn familie beschermd wordt. #Spaarzeallemaal, kies #PlanB! https://t.co/WSx1JJZHay",PartijvdDieren,9,0,47,1
1359910071673749504,1359910071673749504,811509459310747648,2021-02-11T17:00:01.000Z,".@SylvanaBIJ1 werd door @Volzin geïnterviewd over geloof en levensbeschouwing, maar ook thema's zoals macht en onmacht, liefde en naastenliefde, schepping en sterfelijkheid.

Lees het interview hier: https://t.co/wsRMOdlXJx…/ https://t.co/soWMxXptgF",PolitiekBIJ1,10,0,14,0
1371918297638305802,1371918297638305802,17289752,2021-03-16T20:16:25.000Z,"Wij pleiten voor zorgbuurthuizen. Zodat ouderen de keuze hebben tussen thuis of in de buurt oud worden. Want dat is wat er zo fout gegaan is. Die keuze is mensen ontnomen en op de zorg thuis werd bezuinigd
👉https://t.co/H5SelB7vlQ

@MarijnissenL #stemSP #NOSdebat #Nederlandkiest https://t.co/ZxI5nf9tDH",SPnl,46,7,93,2
1359438514060992521,1359438514060992521,966790780869316608,2021-02-10T09:46:13.000Z,"Alom verontwaardiging over de avondklokrellen. Maar de premier heeft geen interesse in achtergronden hiervan. 
Is er echt geen relatie tussen deze uitbarstingen en een falende jeugdzorg?
@DoreleijersTheo over rellende jeugd en weeffouten in de jeugdzorg. 
https://t.co/YokkV2zROz https://t.co/V3PCVZ20rX",VoltNederland,11,4,59,5
1371512223890341891,1371512223890341891,7343682,2021-03-15T17:22:50.000Z,"""Ik geef het kabinet het advies om de zaken op orde te krijgen. We moeten nu nog langer wachten. Zet alles op alles om die achterstand in te lopen.""

@PloumenLilianne over AstraZeneca en de vaccinanties tijdens #EenVandaagdebat #1Vdebat https://t.co/dnrXlidazv",PvdA,17,3,42,0
1359819206037020672,1359819206037020672,1116624945000280072,2021-02-11T10:58:57.000Z,"Een stem zijn voor het platteland en een ‘halt’ toeroepen aan die „Randstad-arrogantie”. Dat wil lijsttrekker Caroline van der Plas (53) van de BoerBurgerBeweging op zijn minst bereiken in de Tweede Kamer  https://t.co/XUCQWe2T25
ons programma: https://t.co/0kbg7eEcaU  #BBB",BoerBurgerB,5,1,11,0
1359248522747510790,1359248522747510790,367703310,2021-02-09T21:11:16.000Z,Echt alléén maar dit soort reacties vandaag! ❤️ https://t.co/7ry13NLyGJ,thierrybaudet,500,1046,3142,646
1371825343015817217,1371825343015817217,16708728,2021-03-16T14:07:03.000Z,"Samen naar de eindstreep van de coronacrisis. En daarna een vliegende start maken. 

Alleen dan kunnen we samen sterker verder. https://t.co/xiEjmqNqV4",markrutte,32,152,234,26
1367501445025705987,1367501445025705987,7343682,2021-03-04T15:45:26.000Z,"Voor een land waar vrouwen willen wonen.🌹

In dit tempo verdienen vrouwen pas in 2051 evenveel als mannen. Dat moet anders! ✊

Zondag om 16.00 uur gaat @PloumenLilianne hierover in gesprek met o.a @khadijaArib, @Vera_Tax en @a_jongerius.

Kijk hier mee 👉https://t.co/kXiFQZ9cZF https://t.co/kpMLDwAruG",PvdA,22,10,49,5
1367540394754514949,1367540394754514949,142575646,2021-03-04T18:20:12.000Z,"""Ik zal je eerlijk zeggen, ik had geen idee hoe dat Kamerwerk in elkaar zat""- @chris_stoffer  || Aflevering #2 ""Aan de praat met de kandidaat"".

Wat wisten we nog niet van deze nummer 2 van de @SGPnieuws ?

Benieuwd? Kijk hier #2de aflevering van: https://t.co/7O4xpOItEQ https://t.co/h4QbaVxH5t",SGPnieuws,8,1,17,3
1370713705802043394,1370713705802043394,254234597,2021-03-13T12:29:48.000Z,Leuk! 🙏 https://t.co/tb3U1eKHU7,MarijnissenL,62,33,459,5
1371838555572609027,1371838555572609027,2822530175,2021-03-16T14:59:33.000Z,De #vrijheidskaravaan is in Delft! Kijk live mee via onze stream: https://t.co/yqJRkbYZmH,fvdemocratie,56,18,232,5
1371521170248437762,1371521170248437762,17289752,2021-03-15T17:58:23.000Z,We gaan ervoor!🤩 Door het hele land voeren SP'ers campagne voor een eerlijk Nederland. Onze busjes rijden door 120 steden. Heb jij ze al gezien of gehoord? 🚌 📣 https://t.co/s0WcsDDodc,SPnl,33,15,78,2
