id,text,created_at,author_id,conversation_id,author_handle,total_engagement,category,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1364189627968552961,"Klimaatrechtvaardigheid: de klimaatcrisis en de sociale ongelijkheid tegelijkertijd bestrijden. En ervoor zorgen dat huishoudens erop vooruit gaan. 

👉 https://t.co/VAulXTVFfB

@SandraBeckerman #Mauritshuisdebat https://t.co/oHqDCO4Wmb",2021-02-23T12:25:27.000Z,17289752,1364189627968552961,SPnl,0.0010230342556626544,,27,7,30,0
1359801259751075842,"🌱 Klimaatverandering stopt niet vanzelf. Grote vervuilers gaan een eerlijke prijs betalen. We voeren een CO2-heffing in.

Benieuwd naar meer van onze klimaatplannen? 
Kijk dan zaterdag om 12.00 uur naar onze campagne kick-off op https://t.co/QhyN5ROc8P. https://t.co/0xgxZXpaJq",2021-02-11T09:47:38.000Z,28076891,1359801259751075842,D66,0.0015787679071049227,,26,201,77,34
1359168877972910093,Hoe de media opereren als loopjongens van een totalitair systeem https://t.co/tFEI7wpRUF via @YouTube,2021-02-09T15:54:47.000Z,367703310,1359168877972910093,thierrybaudet,0.004023424920585067,,194,98,711,9
1370399429035954176,"Zet Nederlanders weer op 1!

Stem PVV!

#NederlandersWeerOp1 #PVV #PVV2021 #StemPVV #Wilders https://t.co/LffDoTGfo7",2021-03-12T15:40:59.000Z,41778159,1370399429035954176,geertwilderspvv,0.002371935326552375,,370,78,1566,19
1363187157834362880,Ik ga morgen om een uur of elf maar eens ‘n kop koffie drinken in Spijkenisse. En dan zo rond drieën even kijkje nemen in Tholen... #vrijheidskaravaan,2021-02-20T18:01:59.000Z,367703310,1363187157834362880,thierrybaudet,0.009044754638667022,,291,203,1760,21
1370046204797722629,#Storm? Tegenwind? Geen probleem. #BBB en ik blijven koersvast en rechtop in de wind. Al is het een orkaan. #17maart2021 @BoerBurgerB #gezondverstand #Lijst23 💪✅✏️ https://t.co/n5tyexmYSy,2021-03-11T16:17:24.000Z,118084079,1370046204797722629,lientje1967,0.0011075423634954037,,10,3,37,0
1363144506141466625,".@kassa_bnnvara vroeg mij voor een blind date met zwevende kiezer Afrah. Vanavond om 19.00 uur op @NPO1

Na de uitzending waren we lang niet uitgepraat. Dus gisteren ben ik nog bij haar langs geweest in Friesland 👇 https://t.co/071WdznQit",2021-02-20T15:12:30.000Z,1336988716515155969,1363144506141466625,PloumenLilianne,0.01699336662443169,,11,26,189,2
1362323305118760966,"De welbekende corona-aanpak van #FVD, deze keer in het gewaad van Herstel-nl. Heel mooi, die support van Bas Jacobs, Barbara Baarsma, Coen Teulings enz.! https://t.co/tDBm4oiiys",2021-02-18T08:49:21.000Z,367703310,1362323305118760966,thierrybaudet,0.0025206041498526998,,103,65,443,23
1372170666322108418,"“Ik had zo graag dat nieuwe leiderschap de afgelopen jaren al gezien.”

@HabtamudeHoop tegen @SigridKaag bij #Op1. Twijfel je nog? App ons 👉 https://t.co/43x3D9I89t

#IkStem #Verkiezingsdag #TK2021 #Verkiezingen2021 #PvdA https://t.co/5eb4O6EneS",2021-03-17T12:59:15.000Z,7343682,1372170666322108418,PvdA,0.0006301401899515376,,20,2,73,2
1369537701209333760,"Meerderheid boeren heeft het gehad met coalitiepartijen CDA, VVD, ChristenUnie en #D66. Boerenstem verschuift landsbreed naar #BBB #gezondverstand #Lijst23 #17maart2021 ✅✏️💪

Vertrouwensbreuk: meerderheid van de boeren stemt niet meer op coalitiepartij - https://t.co/MJidfWr18R",2021-03-10T06:36:47.000Z,1116624945000280072,1369537701209333760,BoerBurgerB,0.0038851715950787825,,5,4,27,0
1367745312828264448,"Wat nu nodig is: een visie voor de toekomst van Nederland. #NuDoorpakken 

Lees hier het interview met @WBHoekstra. 

https://t.co/5vVd0Wz3Mn",2021-03-05T07:54:28.000Z,23770198,1367745312828264448,cdavandaag,0.0023194595291128987,,20,37,59,10
1370087376991686659,"Mensen doneren hun bloed om een ander te helpen. Dat is prachtig. Vanzelfsprekend moet dat bloed veilig zijn. Dat hangt niet af van de geaardheid van de donor, maar van het gedrag. 

Tweede Kamerlid @ockjetellegen #samensterkerverder https://t.co/g3envJ7AuB",2021-03-11T19:01:00.000Z,7599192,1370087376991686659,VVD,0.00032823370239610605,,6,22,50,4
1367587784546873346,"Mensen zijn er helemaal klaar mee. Het leidt tot depressie, eenzaamheid en veel stress bij ondernemers. 

Daarom zegt D66: geef mensen die getest zijn weer de ruimte. En geef mensen met een vaccin dezelfde ruimte.
-@RobJetten #Jinek https://t.co/D6V5YVpNBf",2021-03-04T21:28:31.000Z,28076891,1367587784546873346,D66,0.0007753712206491632,,15,66,73,12
1360537927076503552,Komende weken t/m 17 maart is #BBB te zien in Zendtijd voor Politieke partijen op nationale tv. En te horen via radiospots op nationale radio. Verder zullen we in de 355 gemeenten onze posters plakken. Kijk voor meer informatie op https://t.co/fY56ENyFs0,2021-02-13T10:34:54.000Z,118084079,1360537927076503552,lientje1967,0.0006866762653671503,,8,1,21,1
1367869425899208713,"Haatberichten en seksisme online. Hoe ga je daar mee om?

Tamara, Dilan, Bente en Sophie praten erover in de ‘de V van VVD’ podcast.

Benieuwd naar deze podcast?
👉 https://t.co/kNM1DJuu4I
👉 https://t.co/BY7Gt4K0aL https://t.co/cI1KKc5793",2021-03-05T16:07:39.000Z,7599192,1367869425899208713,VVD,0.00042430210309740533,,13,46,43,4
1367173929614200836,"Morgen is het weer tijd voor een Q&amp;A! Vanaf 19u gaan we live met Christine Teunissen en Lammert van Raan op onze Facebook en website. Heb je vragen over klimaat, onderwijs, cultuur of financiën? Stuur ze vast in!  👇
https://t.co/8S9jSdSOK0 https://t.co/6ff60QmaJ2",2021-03-03T18:04:00.000Z,20710359,1367173929614200836,PartijvdDieren,0.001003705991352687,,10,2,39,1
1368630275450630145,"Een #EerlijkeToekomst begint bij een schone planeet. 

Je kunt @Joris_PvdA om 20.00 uur alles vragen over ons plan voor een eerlijke en schone toekomst.🌳
👉 https://t.co/2UcaXksnXp https://t.co/cEYeLlvUB7",2021-03-07T18:31:00.000Z,7343682,1368630275450630145,PvdA,0.0003248145309028545,,9,6,35,0
1372193805546455041,"#Verkiezingsdag, maar je twijfelt nog?

Doe onze stemvergelijker, en check wat het verschil is tussen de #PvdA en andere partijen.

https://t.co/jZ1bD2KTjM

#IkStem  #TK2021 #Verkiezingen2021",2021-03-17T14:31:12.000Z,7343682,1372193805546455041,PvdA,0.0002598516247222836,,10,1,29,0
1367003568075587585,"250 redenen om #PvdD te stemmen 💚 - nr. 195. #PlanB #TK2021 

Minstens 50 m2 kwalitatief groen per inwoner in elke gemeente. Braakliggende terreinen worden ter beschikking gesteld voor stadslandbouw, natuurontwikkeling, tiny forests, voedselbossen en collectief beheerde parken. https://t.co/C7VTornR83",2021-03-03T06:47:02.000Z,20710359,1367003568075587585,PartijvdDieren,0.004130636195182212,,42,9,162,1
1368144284189257728,Ik ga LIVE met jou in gesprek. Stel je vragen in de reacties. https://t.co/12K06yKb0q,2021-03-06T10:19:50.000Z,16708728,1368144284189257728,markrutte,0.0025127267980681375,,22,281,143,16
1365361057527697409,"#StudioSGP || Kijk over 30 min. mee met Studio SGP over de politieke actualiteit, demografie en integratie met @chris_stoffer, @leo_wissen en ds. Cees Rentier. @meijers_pieter van @SGPJ presenteert het migratiemanifest van @SGPnieuws en @SGPJ. Kijk mee: https://t.co/j6zMjnQICw.",2021-02-26T18:00:17.000Z,142575646,1365361057527697409,SGPnieuws,0.00040206777713957495,,2,0,5,0
1368819019298570241,"Start je ochtend LIVE met een kop koffie en het nieuws van de dag samen met @DilanYesilgoz en @bentebecker! ☕️ 

#internationalevrouwendag https://t.co/Zed8dqoGK8",2021-03-08T07:01:00.000Z,7599192,1368819019298570241,VVD,0.00033623940245454766,,5,39,36,4
