id,author_id,conversation_id,text,created_at,author_handle,total_engagement,category,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1365667922841137156,126446989,1365667922841137156,Het nieuwe 50PLUS doet het anders. Samen met al die geweldige 50PLUSsers binnen onze partij gaan wij voor de inhoud. @50pluspartij https://t.co/bljxh8rUqP,2021-02-27T14:19:40.000Z,LianedenHaan,0.008774890313871077,,8,2,15,1
1365678920650088449,41778159,1365678920650088449,"Gaat lekker eerst de Bulgaren en nu de Polen. Daar gaat ons geld.
Rutte geeft het aan iedereen in Europa en Afrika. 

Maar hier in Nederland gaat de horeca en detailhandel failliet en bij de voedselbanken is het drukker dan ooit. 

#StemZeWeg #StemPVV 

https://t.co/T0yPHZnqfD",2021-02-27T15:03:22.000Z,geertwilderspvv,0.002375435477058847,,449,97,1466,24
1362844007483727876,367703310,1362844007483727876,Morgen ochtend ga. ik om 11 uur ‘s ochtends een kop koffie drinken op het Stadhuisplein in Vlissingen! #vrijheidskaravaan,2021-02-19T19:18:26.000Z,thierrybaudet,0.007812282578013493,,234,197,1509,25
1371461920822341633,7343682,1371461920822341633,"Zorgmedewerkers verdienen #MeerdanApplaus 🩺

@VVD, @cdavandaag en @D66 stemden keer op keer tegen. Dat moet en kan anders. Tijd voor een socialere regering. Dat is waar @PloumenLilianne voor gaat  👇 https://t.co/Lj5b1Tq7Ph",2021-03-15T14:02:57.000Z,PvdA,0.0005456884119167955,,22,5,55,2
1362476635837054985,17289752,1362476635837054985,"Met 65 kunnen stoppen met werken is vooruitgang. Tijd voor een eerlijke oude dag voor iedereen.🍅

@RenskeLeijten @DitisDeDag #runningmatedebat

Meer weten over ons alternatief? Lees nu ons verkiezingsprogramma.👇
🍅 https://t.co/Uhc6BZ2I8t 🍅 https://t.co/idpRAOHGzc",2021-02-18T18:58:38.000Z,SPnl,0.002125993062548954,,38,30,64,1
1371593869872173060,2822530175,1371593869872173060,"Zure Haagse politici willen Nederland nog veel langer opsluiten. Ze surfen op een golf van angst. Het zijn hún maatregelen die ondernemers kapotmaken.

#FVD wil Nederland juist vrij laten. Niet langer in lockdown. Gewoon terug naar normaal. Leef! En #StemFVD op 17 maart! #Jinek https://t.co/T2IN5SWe3q",2021-03-15T22:47:16.000Z,fvdemocratie,0.02717608049133442,,437,332,1531,85
1360606218675437570,811509459310747648,1360606218675437570,"Heeft ons Verkiezingsfestival je overtuigd van de toegevoegde waarde van BIJ1? Wil jij BIJ1 de Kamer in helpen?

Doneer nu! 💛🙏🏿⏩ https://t.co/4WsREe4olQ

#VerkiezingsfestivalBIJ1 #SpreekJeUitBekenKleur 
#KomBIJ1 https://t.co/uoFDrYjZQh",2021-02-13T15:06:16.000Z,PolitiekBIJ1,0.0038119440914866584,,14,4,17,4
1367090653000253442,254234597,1367090653000253442,"De dakloosheid is onder de kabinetten Rutte verdubbeld. Mensen leven in armoede en kunnen hun huur niet meer betalen. 

Het gevolg van keer op keer dezelfde keuzes: niet voor mensen maar voor de markt. Hoog tijd voor meer SP dus. https://t.co/lBe8MURJ0C",2021-03-03T12:33:05.000Z,MarijnissenL,0.006390371013773421,,62,46,194,7
1366152400243941380,1116624945000280072,1366152400243941380,Organisatoren van evenementen moeten bij de toegang GEEN vaccinatiebewijs kunnen VRAGEN wat BBB betreft. Dit schendt de privacy van mensen.,2021-02-28T22:24:48.000Z,BoerBurgerB,0.009928771854090222,,12,12,68,0
1357584845396918272,254234597,1357584845396918272,Ons land moet eerlijker. Weg met de Rutte-doctrine en op naar de SP-mentaliteit. 🍅 Vandaag in de @NieuweRevu! https://t.co/bGAXQFvNMr,2021-02-05T07:00:24.000Z,MarijnissenL,0.00831368656160814,,75,57,263,7
1358443576812859395,139400870,1358443576812859395,Ingesneeuwd! ❄️👀❄️ https://t.co/aGGuEM7yj4,2021-02-07T15:52:42.000Z,estherouwehand,0.006715030877150909,,12,9,201,2
1371463081113567233,920164010342912000,1371463081113567233,"We moeten #NuDoorpakken voor verstandig financieel beleid. Beleid waarmee we de grote rekeningen niet doorschuiven naar ondernemers of de volgende generatie. 

🔗 Lees ons plan: https://t.co/WXSwapz8Al https://t.co/irxd2HXCs2",2021-03-15T14:07:33.000Z,WBHoekstra,0.0029793477034194787,,26,33,71,2
1359478457915301889,254234597,1359478457915301889,De Tweede Kamer spreekt vandaag weer over de gedupeerden door de #gaswinning in Groningen. Maar hoeveel mooie worden zijn er al gesproken? Het is tijd voor daden.👇 https://t.co/Xaf8pdPvqM,2021-02-10T12:24:56.000Z,MarijnissenL,0.002543739918103983,,16,15,89,3
1360150897096073216,223455196,1360150897096073216,"Bij het vaccineren van ouderen loopt Nederland ver achter bij andere Europese lidstaten. “Met een bescheiden investering komt ons land weer waar wij horen te staan: in de voorhoede”, zei televisiedokter Ted van Essen tegen lijsttrekker Liane den Haan.
👉https://t.co/3FmofGIpa5 https://t.co/HgQWlu99EO",2021-02-12T08:56:58.000Z,50pluspartij,0.004724641960726414,,9,4,18,1
1361798837271158787,367703310,1361798837271158787,"Het is tijd om campagne te voeren voor vrijheid. Stop de absurde lockdown, de #avondklok, de mondkapjes. Help mee! Bestel het #FVD Campagnepakket! Sluit je aan bij dé democratische vernieuwingsbeweging!  https://t.co/Nb5WZluHpk",2021-02-16T22:05:18.000Z,thierrybaudet,0.004420996553053946,,175,98,830,9
1368289137082707971,50241691,1368289137082707971,Vandaag bij ⁦@EenVandaag⁩ een mooi gesprek gehad. Goed en degelijk onderzoek van ⁦@gijsrademaker⁩. Blij met de uitkomsten. https://t.co/GYQRP98Y5s,2021-03-06T19:55:26.000Z,F_azarkan,0.006262473332874544,,7,8,75,1
1357799501138919431,23770198,1357799501138919431,"Er zijn in Nederland mensen die niet veilig over straat kunnen. Simpelweg om wie ze zijn. 

🏳️‍🌈 ''Ik vind dat onacceptabel en ik ga het ook niet accepteren.'' - @WBHoekstra #COCdebat https://t.co/B6k9hVMGqA",2021-02-05T21:13:22.000Z,cdavandaag,0.0021906006663844043,,18,24,70,7
