id,author_id,created_at,text,conversation_id,author_handle,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1363517268756492289,2822530175,2021-02-21T15:53:44.000Z,"Lockdowns werken niet. Er zijn niet meer besmettingen in landen zonder lockdowns dan in landen met lockdowns. Intussen ruïneert de #lockdown onze samenleving. We moeten er dus zo snel mogelijk mee stoppen! Onze analyse:

https://t.co/ftbBPGmvBU

#FVD",1363517268756492289,fvdemocratie,121,18,428,7
1365987425584115712,367703310,2021-02-28T11:29:15.000Z,"Hoe is het mogelijk dat naast #FVD alléén denk en krol voor deze motie hebben gestemd!? Hoe kunnen al die andere partijen het verantwoorden dat ze voor QUARANTAINE zijn voor kinderen!? Echt, Forum is de ENIGE OPTIE op 17 maart. https://t.co/LEsCQqv6TZ https://t.co/kffWrRLXIa",1365987425584115712,thierrybaudet,256,78,881,25
1358868206111256580,811509459310747648,2021-02-08T20:00:01.000Z,Machil Deinum werd vorig jaar maart ziek door het coronavirus. Het was toen niet mogelijk om je testen voor het virus en de huisarts kon ook weinig doen. De overheidinstanties schoten ernstig tekort. Hij deelde zijn verhaal met ons. 👇 https://t.co/HgboJ8kKaW,1358868206111256580,PolitiekBIJ1,11,3,14,0
1359155291871469577,17289752,2021-02-09T15:00:48.000Z,"De Tweede Kamer steunt het voorstel van de SP om de huren van sociale huurwoningen te bevriezen. Een mooi succes voor alle huurders die hebben actiegevoerd tegen de huurverhogingen. #0isgenoeg! 
https://t.co/qkP7HhOQTE",1359155291871469577,SPnl,65,19,138,11
1366144446996373506,50241691,2021-02-28T21:53:12.000Z,"Gedupeerde ouder tegen @markrutte : “Wij zaten als ratten in de val. U bent niet opgestapt, u staat hier nog.” Zeer sterk.
#toeslagenaffaire
#ongekendonrecht 
#RTLdebat
#Rutte https://t.co/nJlV6Tilpl",1366144446996373506,F_azarkan,9,8,72,1
1370708890615218179,254234597,2021-03-13T12:10:40.000Z,"Hartelijk dank voor jouw stem Eefke! Ik ben trots op @RenskeLeijten en op alles wat zij heeft gedaan en doet voor de ouders van de #toeslagenaffaire.

https://t.co/aWCcM5zZ5p",1370708890615218179,MarijnissenL,49,15,166,3
1359232503479959553,1116624945000280072,2021-02-09T20:07:36.000Z,"Onze eerste FB-livestream zit erop. Moeite waard om terug te kijken. Geen meel in de mond, gewoon zeggen hoe het is. Half uurtje #Gezondverstandpraat dus. Vrijdagmiddag 16.00 uur deel 2. #BoerBurgerBabbel tijdens #vrijmibo. Volg dan ook en stel je vragen.  https://t.co/oSgoDEPAq4",1359232503479959553,BoerBurgerB,6,0,9,1
1363874388844703748,367703310,2021-02-22T15:32:48.000Z,Prachtige Parkeerplek Nieuw Amerika in Gouda... mooie vlaggen... Koffie? #vrijheidskaravaan #FVD https://t.co/p3uGf29LKD,1363874388844703748,thierrybaudet,88,49,542,13
1363394520528932865,367703310,2021-02-21T07:45:58.000Z,.@mauricedehond dit kan gewoon niet. 4 zetels voor #FVD? Heb je de beelden van onze bijeenkomsten gezien? 45.000 leden! In twee dagen (!) haalden we meer dan 150k op aan crowdfundjng! De speech v @WybrenvanHaga werd op facebook in 3 dagen al &gt;1 miljoen keer bekeken! 4 zetels?! 🤡,1363394520528932865,thierrybaudet,595,1046,3096,285
1362443987764858880,966790780869316608,2021-02-18T16:48:54.000Z,"“Mensen snakken naar een verhaal dat iets verder durft te kijken dan alleen de landsgrenzen of de korte termijn van vier jaar” 

@DassenLaurens te gast bij de Keuzecast. Wat is de noodzaak van Volt naast de oude partijen? Luister zelf!
https://t.co/k6JVaa0HIr",1362443987764858880,VoltNederland,9,0,44,0
