handle,followers,party,type
VVD,249822,VVD,party
markrutte,183864,VVD,person
D66,214091,D66,party
SigridKaag,66032,D66,person
geertwilderspvv,857106,PVV,person
cdavandaag,54323,CDA,party
WBHoekstra,44305,CDA,person
SPnl,62559,SP,party
MarijnissenL,48354,SP,person
PvdA,153934,Partij van de Arbeid,party
PloumenLilianne,13417,Partij van de Arbeid,person
groenlinks,143157,GroenLinks,party
jesseklaver,283408,GroenLinks,person
fvdemocratie,87761,Forum voor Democratie,party
thierrybaudet,251527,Forum voor Democratie,person
PartijvdDieren,51808,Partij voor de Dieren,party
estherouwehand,33358,Partij voor de Dieren,person
christenunie,35576,ChristenUnie,party
gertjansegers,56971,ChristenUnie,person
VoltNederland,14285,Volt,party
DassenLaurens,6200,Volt,person
JuisteAntwoord,8545,JA21,party
Eerdmans,29778,JA21,person
SGPnieuws,17410,Staatkundig Gereformeerde Partij,party
keesvdstaaij,87446,Staatkundig Gereformeerde Partij,person
DenkNL,16749,DENK,party
F_azarkan,14531,DENK,person
50pluspartij,6773,50PLUS,party
LianedenHaan,2963,50PLUS,person
BoerBurgerB,9266,BBB,party
lientje1967,45145,BBB,person
PolitiekBIJ1,10231,BIJ1,party
SylvanaBIJ1,15253,BIJ1,person
